customer_id,customer_name,gender,age,home_address,zip_code,city,state,country,order_id,payment,order_date,delivery_date,days_to_deliver,time_to_deliver,month,year,week,weekD,active
20,Gigi Kalaher,Genderqueer,55,2069 Phoebe MallApt. 543,6318,East Audrey,South Australia,Australia,432.0,37821.0,2021-10-20,2021-11-03,14.0,336.0,10.0,2021.0,42,Wed,Yes
21,Seana Hearons,Non-binary,31,93 Doherty MewsSuite 649,1133,South Callum,Tasmania,Australia,377.0,24815.0,2021-05-19,2021-05-28,9.0,216.0,5.0,2021.0,20,Wed,Yes
22,Blayne Sabatier,Non-binary,20,292 Casper IslandSuite 778,6624,Maxberg,Victoria,Australia,668.0,40483.0,2021-03-15,2021-03-30,15.0,360.0,3.0,2021.0,11,Mon,Yes
23,Alair Grimwad,Female,32,682 Rose CircleApt. 514,1832,North Mia,Tasmania,Australia,515.0,20627.0,2021-05-23,2021-06-13,21.0,504.0,5.0,2021.0,20,Sun,Yes
24,Rici Fogden,Genderfluid,49,75 Williamson MewsSuite 864,4359,Charliebury,Northern Territory,Australia,,,,,,,,,,,No
25,Ernaline Luce,Genderqueer,75,02 Gabriella PlazaApt. 474,9311,Olivershire,Victoria,Australia,609.0,21514.0,2021-04-22,2021-05-08,16.0,384.0,4.0,2021.0,16,Thu,Yes
26,Timothy Compston,Genderqueer,50,499 Darcy CrestApt. 192,8816,New Oliverside,New South Wales,Australia,550.0,52719.0,2021-08-04,2021-08-09,5.0,120.0,8.0,2021.0,31,Wed,Yes
27,Jayme Turvie,Polygender,55,6578 Kayla AvenueSuite 812,3462,Lake Alanafort,Western Australia,Australia,748.0,49811.0,2021-05-16,2021-06-06,21.0,504.0,5.0,2021.0,19,Sun,Yes
28,Hadley Baddam,Non-binary,79,360 Heller DriveApt. 052,5820,West Noah,Queensland,Australia,208.0,39533.0,2021-10-10,2021-10-15,5.0,120.0,10.0,2021.0,40,Sun,Yes
29,Tyrus Pitkaithly,Male,20,52 Kayla CircuitSuite 332,5308,North Matildamouth,Queensland,Australia,,,,,,,,,,,No
30,Bernice Grindle,Female,38,612 Jessica TerraceApt. 847,7110,Jetttown,Australian Capital Territory,Australia,,,,,,,,,,,No
31,Tammara Dionisetti,Non-binary,36,471 Bahringer ManorApt. 236,756,Dickensberg,Northern Territory,Australia,,,,,,,,,,,No
32,Devlin Labet,Genderqueer,32,98 Becker LoopApt. 567,1822,Port Archiemouth,Queensland,Australia,,,,,,,,,,,No
33,Luca Hantusch,Male,44,639 Farrell HillSuite 093,4116,Chaseshire,South Australia,Australia,,,,,,,,,,,No
34,Ninon Corteney,Non-binary,55,09 Robinson SquareApt. 647,5387,Sauerfort,Western Australia,Australia,267.0,44791.0,2021-09-11,2021-09-12,1.0,24.0,9.0,2021.0,36,Sat,Yes
35,Adamo Saddington,Male,80,3168 Bartoletti CrescentSuite 878,593,Port Lucas,Queensland,Australia,844.0,34733.0,2021-09-26,2021-10-18,22.0,528.0000000000001,9.0,2021.0,38,Sun,Yes
36,Xever Giacomelli,Genderqueer,27,41 Durgan IslandApt. 820,5691,Hamishfurt,Queensland,Australia,,,,,,,,,,,No
37,Zulema Teml,Male,75,3307 Walsh JunctionSuite 233,9751,Violetville,Western Australia,Australia,,,,,,,,,,,No
38,Joly Hagley,Male,34,2958 Dooley Station StSuite 879,1920,Lake Lilly,Australian Capital Territory,Australia,,,,,,,,,,,No
39,Legra Neaverson,Genderqueer,80,7440 Cameron Estate DrSuite 628,4622,North Victoriachester,Northern Territory,Australia,,,,,,,,,,,No
40,Regan Gronaller,Polygender,59,9484 Amelia View RdApt. 760,9767,Port Claudia,New South Wales,Australia,732.0,40317.0,2021-05-09,2021-05-29,20.0,480.0,5.0,2021.0,18,Sun,Yes
41,Hana Stitch,Male,65,647 Violet Estate DrSuite 364,4320,Port Ella,New South Wales,Australia,320.0,19693.0,2021-08-22,2021-09-12,21.0,504.0,8.0,2021.0,33,Sun,Yes
42,Horatius Genever,Genderqueer,37,778 Wilkinson RidgeSuite 101,268,Gabriellatown,Victoria,Australia,778.0,19228.0,2021-01-24,2021-02-07,14.0,336.0,1.0,2021.0,3,Sun,Yes
43,Rodie Klaiser,Non-binary,34,75 Keeling JunctionSuite 483,1490,South Kaiview,Queensland,Australia,,,,,,,,,,,No
44,Avivah Chipchase,Bigender,60,6308 Amelie MeadowSuite 634,9842,Eliburgh,Tasmania,Australia,787.0,59055.0,2021-07-18,2021-07-31,13.0,312.0,7.0,2021.0,28,Sun,Yes
45,Vicki Stockwell,Male,27,3101 Thomson ManorApt. 600,1796,Leofurt,Australian Capital Territory,Australia,932.0,27978.0,2021-08-22,2021-08-23,1.0,24.0,8.0,2021.0,33,Sun,Yes
46,Meris Twitty,Agender,68,708 Daniel MeadowSuite 246,5087,Bartolettiside,Australian Capital Territory,Australia,355.0,33100.0,2021-04-14,2021-04-24,10.0,240.0,4.0,2021.0,15,Wed,Yes
47,Jarrett Brumby,Polygender,54,59 Wood DriveSuite 806,9780,Lake Nicholasfurt,Western Australia,Australia,410.0,14296.0,2021-08-04,2021-08-09,5.0,120.0,8.0,2021.0,31,Wed,Yes
48,Ronnie Shiril,Male,79,78 Nguyen MallApt. 116,4761,Heathcotemouth,New South Wales,Australia,,,,,,,,,,,No
49,Shanna Pietrzyk,Female,56,30 Watson WayApt. 179,2511,Port Alyssa,Queensland,Australia,534.0,31586.0,2021-09-23,2021-09-26,3.0,72.00000000000001,9.0,2021.0,38,Thu,Yes
50,Moore Oolahan,Genderqueer,63,13 Stokes SummitApt. 125,5725,East Aidan,Western Australia,Australia,635.0,51943.0,2021-07-15,2021-08-05,21.0,504.0,7.0,2021.0,28,Thu,Yes
51,Kayley Brosoli,Non-binary,52,59 Hand ManorApt. 544,6322,South Evaport,Northern Territory,Australia,36.0,32494.0,2021-08-22,2021-09-04,13.0,312.0,8.0,2021.0,33,Sun,Yes
52,Marena Lockhart,Male,47,012 Cooper MallApt. 259,841,Chelseahaven,Victoria,Australia,352.0,13270.0,2021-10-08,2021-10-10,2.0,48.0,10.0,2021.0,40,Fri,Yes
53,Reinhold Gooble,Male,51,9369 Casper Estate DrApt. 122,9225,Lake Kaylastad,South Australia,Australia,,,,,,,,,,,No
54,Tore Caras,Genderqueer,62,2912 Adams JunctionSuite 740,5575,West Alyssa,Queensland,Australia,575.0,27420.0,2021-08-14,2021-08-16,2.0,48.0,8.0,2021.0,32,Sat,Yes
55,Giles Kyne,Polygender,45,91 Angelina RidgeApt. 435,9871,Lake Phoenixside,South Australia,Australia,526.0,10434.0,2021-05-16,2021-05-22,6.0,144.00000000000003,5.0,2021.0,19,Sun,Yes
56,Vinny Niland,Agender,33,673 Amelie MewsApt. 346,6829,Brownburgh,New South Wales,Australia,,,,,,,,,,,No
57,Anne-corinne Enrich,Male,65,84 Natalie RunSuite 762,614,Kellyshire,Australian Capital Territory,Australia,,,,,,,,,,,No
58,Aurie Margett,Agender,39,260 Lily PassSuite 549,2783,Amelieburgh,New South Wales,Australia,8.0,28484.0,2021-04-12,2021-05-01,19.0,456.0,4.0,2021.0,15,Mon,Yes
59,Martita Quakley,Male,58,629 Hoppe BoulevardSuite 590,7934,Boylefort,New South Wales,Australia,,,,,,,,,,,No
60,Hyacinth Pepper,Agender,20,8095 Kuhlman StreetApt. 657,4907,New Callum,Tasmania,Australia,524.0,28334.0,2021-07-21,2021-08-01,11.0,264.00000000000006,7.0,2021.0,29,Wed,Yes
61,Lin Avraam,Genderqueer,65,00 Zachary AvenueApt. 781,4358,Samuelland,South Australia,Australia,473.0,36137.0,2021-05-19,2021-06-12,24.0,576.0000000000001,5.0,2021.0,20,Wed,Yes
62,Denice Ledrane,Bigender,32,049 Imogen StreetSuite 299,2404,New Beaumouth,Australian Capital Territory,Australia,212.0,29887.0,2021-10-14,2021-11-08,25.0,600.0,10.0,2021.0,41,Thu,Yes
63,Kleon Trobey,Non-binary,78,013 Edward ParadeApt. 499,5140,Kossfort,Victoria,Australia,,,,,,,,,,,No
64,Annabella Devote,Genderfluid,75,4927 Alice MeadowApt. 960,7787,Sanfordborough,South Australia,Australia,1.0,30811.0,2021-08-30,2021-09-24,25.0,600.0,8.0,2021.0,35,Mon,Yes
65,Bertine Puddefoot,Female,64,650 Gabriel MeadowSuite 946,5937,Feilchester,South Australia,Australia,,,,,,,,,,,No
66,Vasili Shearston,Polygender,34,6677 Gemma PlazaApt. 314,964,South Elimouth,South Australia,Australia,,,,,,,,,,,No
67,Reta Jefferies,Male,59,928 Johnson View RdApt. 583,5630,Lucamouth,South Australia,Australia,,,,,,,,,,,No
68,Willa Gaisford,Female,23,373 Little JunctionApt. 299,6751,West Justin,Western Australia,Australia,75.0,16667.0,2021-08-24,2021-09-15,22.0,528.0000000000001,8.0,2021.0,34,Tue,Yes
69,Tiphany Peacop,Bigender,79,473 Leo CourtSuite 784,8820,East Sofia,Victoria,Australia,965.0,14014.0,2021-07-24,2021-07-29,5.0,120.0,7.0,2021.0,29,Sat,Yes
70,Dulcea Shrawley,Female,48,026 D'amore RunSuite 187,770,Codyview,Northern Territory,Australia,357.0,30735.0,2021-02-08,2021-02-13,5.0,120.0,2.0,2021.0,6,Mon,Yes
71,Tana Pawley,Bigender,63,50 Stella CourtSuite 087,1365,Lake Holly,Western Australia,Australia,,,,,,,,,,,No
72,Marinna Heal,Genderfluid,42,95 Justin PlaceApt. 441,5160,Braunhaven,Tasmania,Australia,937.0,13216.0,2021-06-04,2021-06-25,21.0,504.0,6.0,2021.0,22,Fri,Yes
73,Jehanna Water,Polygender,48,672 Graham MewsApt. 407,5208,Monahanside,South Australia,Australia,809.0,26098.0,2021-02-11,2021-02-25,14.0,336.0,2.0,2021.0,6,Thu,Yes
74,Tracy Ebenezer,Genderqueer,79,3263 Parisian PlaceSuite 811,7803,West Jesseton,Northern Territory,Australia,,,,,,,,,,,No
75,Katinka Currier,Non-binary,75,96 Caitlin HillSuite 366,9777,Smythland,South Australia,Australia,112.0,46956.0,2021-02-04,2021-02-17,13.0,312.0,2.0,2021.0,5,Thu,Yes
76,Chandra Carine,Agender,51,1805 Harry RoadApt. 445,2030,Hellermouth,New South Wales,Australia,943.0,26707.0,2021-02-22,2021-03-14,20.0,480.0,2.0,2021.0,8,Mon,Yes
77,Angela Kester,Male,62,63 Tremblay BoulevardApt. 688,1102,Chloeville,South Australia,Australia,489.0,28578.0,2021-08-30,2021-09-21,22.0,528.0000000000001,8.0,2021.0,35,Mon,Yes
78,Jethro Pollak,Genderqueer,38,7812 Towne GroveSuite 233,7232,Lake Alihaven,Northern Territory,Australia,37.0,53949.0,2021-07-07,2021-07-18,11.0,264.00000000000006,7.0,2021.0,27,Wed,Yes
79,Persis Spiteri,Genderfluid,46,844 Alana LaneApt. 225,1862,Sofiaberg,Australian Capital Territory,Australia,527.0,16864.0,2021-09-13,2021-10-09,26.0,624.0,9.0,2021.0,37,Mon,Yes
80,Opal Bermingham,Polygender,65,516 Grant RunSuite 000,6903,Port Mason,Victoria,Australia,,,,,,,,,,,No
81,Lanny Wardale,Female,30,4870 Jackson SummitApt. 538,1915,Spencerborough,Western Australia,Australia,570.0,19171.0,2021-03-09,2021-03-14,5.0,120.0,3.0,2021.0,10,Tue,Yes
82,Laina Baudains,Polygender,53,44 Oliver CourtApt. 045,9603,Elizabethfort,Northern Territory,Australia,,,,,,,,,,,No
83,Kayne Fraczkiewicz,Agender,40,9662 Isaac MallSuite 490,7525,Walshland,Northern Territory,Australia,762.0,25268.0,2021-08-13,2021-08-20,7.0,168.0,8.0,2021.0,32,Fri,Yes
84,Minta Loble,Female,63,195 Wilson HillApt. 597,7587,Lake Paigemouth,Northern Territory,Australia,163.0,11473.0,2021-06-12,2021-06-17,5.0,120.0,6.0,2021.0,23,Sat,Yes
85,Cornie Virr,Genderqueer,27,41 Feeney ParkwaySuite 074,4401,East Chelsea,Northern Territory,Australia,472.0,44735.0,2021-07-15,2021-07-29,14.0,336.0,7.0,2021.0,28,Thu,Yes
86,Corinna Maystone,Non-binary,76,040 Savannah GroveSuite 967,9337,Gleasonport,Tasmania,Australia,40.0,56657.0,2021-01-07,2021-01-19,12.0,288.00000000000006,1.0,2021.0,1,Thu,Yes
87,Barbara-anne Salerg,Agender,53,384 Hayley View RdSuite 949,1780,Savannahland,Northern Territory,Australia,990.0,40306.0,2021-08-17,2021-09-06,20.0,480.0,8.0,2021.0,33,Tue,Yes
88,Kendall Jakubski,Male,78,331 Leah Station StSuite 445,3111,Port Liam,South Australia,Australia,730.0,16533.0,2021-06-20,2021-07-10,20.0,480.0,6.0,2021.0,24,Sun,Yes
89,Matthiew Hinckes,Female,51,1290 Koch GroveApt. 799,1443,Lake Hannah,Queensland,Australia,269.0,21446.0,2021-02-05,2021-02-22,17.0,408.0,2.0,2021.0,5,Fri,Yes
90,Warner Chevin,Non-binary,40,89 Patrick CrescentSuite 049,6684,West Georgiachester,New South Wales,Australia,,,,,,,,,,,No
91,Keen Murrhaupt,Polygender,72,110 Isaac JunctionApt. 205,7110,Lillyburgh,Victoria,Australia,,,,,,,,,,,No
92,Hillary Guiness,Agender,27,74 Eva TerraceSuite 247,564,Harrismouth,Queensland,Australia,195.0,41725.0,2021-04-13,2021-04-17,4.0,96.0,4.0,2021.0,15,Tue,Yes
93,Law Foker,Genderfluid,66,4715 Hand View RdSuite 955,4739,Colestad,Queensland,Australia,62.0,37952.0,2021-07-30,2021-08-13,14.0,336.0,7.0,2021.0,30,Fri,Yes
94,Otha Skein,Genderqueer,46,368 Morrison MeadowApt. 117,1037,East Isla,Western Australia,Australia,401.0,24512.0,2021-08-14,2021-08-24,10.0,240.0,8.0,2021.0,32,Sat,Yes
95,Pierre Rockwill,Non-binary,33,09 Doyle MallApt. 066,3891,Port Jordan,Western Australia,Australia,314.0,49262.0,2021-08-14,2021-08-17,3.0,72.00000000000001,8.0,2021.0,32,Sat,Yes
96,Garvy Davioud,Genderfluid,41,461 Nader LaneApt. 460,2012,Hudsontown,New South Wales,Australia,69.0,40619.0,2021-03-08,2021-03-28,20.0,480.0,3.0,2021.0,10,Mon,Yes
97,Dean McLarty,Female,39,6303 Nate BoulevardSuite 368,2815,North Ellabury,Northern Territory,Australia,477.0,37504.0,2021-06-20,2021-06-26,6.0,144.00000000000003,6.0,2021.0,24,Sun,Yes
98,Kenyon Lemerle,Female,78,772 Chloe MeadowSuite 666,2945,East Siennaview,Queensland,Australia,,,,,,,,,,,No
99,Benji Vineall,Genderqueer,75,468 Shields CircleApt. 480,296,Port Madelineberg,Tasmania,Australia,324.0,10411.0,2021-07-05,2021-07-16,11.0,264.00000000000006,7.0,2021.0,27,Mon,Yes
100,Wilhelm Blaber,Genderfluid,69,093 Jessica AvenueSuite 154,768,Lake Callumville,Queensland,Australia,447.0,59708.0,2021-01-10,2021-01-23,13.0,312.0,1.0,2021.0,1,Sun,Yes
101,Gerard Gilkison,Male,38,452 Nathan ParadeSuite 988,9867,North William,Queensland,Australia,,,,,,,,,,,No
102,Hurleigh Sieb,Genderfluid,32,1737 Schroeder LoopSuite 349,6848,Port Sarah,Queensland,Australia,467.0,23636.0,2021-02-24,2021-03-10,14.0,336.0,2.0,2021.0,8,Wed,Yes
103,Monica Teodorski,Bigender,77,100 Stokes ParkwayApt. 307,2603,South Nathan,South Australia,Australia,464.0,26925.0,2021-06-29,2021-07-25,26.0,624.0,6.0,2021.0,26,Tue,Yes
104,Nanny Franey,Agender,73,9268 Swift SummitSuite 218,7112,Joelland,Australian Capital Territory,Australia,567.0,25661.0,2021-06-21,2021-06-23,2.0,48.0,6.0,2021.0,25,Mon,Yes
105,Madelin Matityahu,Male,71,29 Ward MeadowSuite 626,8645,East Aidan,South Australia,Australia,,,,,,,,,,,No
106,Rachel Colebrook,Genderqueer,38,6553 Gibson AvenueSuite 245,7712,Stokestown,Australian Capital Territory,Australia,97.0,17772.0,2021-03-29,2021-03-31,2.0,48.0,3.0,2021.0,13,Mon,Yes
107,Sandy Yushachkov,Genderfluid,35,20 Morrison RoadSuite 781,7264,Claudiaview,Western Australia,Australia,229.0,15827.0,2021-10-08,2021-10-20,12.0,288.00000000000006,10.0,2021.0,40,Fri,Yes
108,Merrill Care,Bigender,57,7285 Mason BoulevardSuite 754,1392,Port Rosemouth,Queensland,Australia,788.0,18355.0,2021-10-08,2021-10-13,5.0,120.0,10.0,2021.0,40,Fri,Yes
109,Karoly Wadge,Polygender,72,78 Ruby WayApt. 351,614,North Chelseaport,Tasmania,Australia,,,,,,,,,,,No
110,Giralda Trewin,Genderfluid,65,656 Abigail KnollApt. 083,8132,Bartolettifurt,Western Australia,Australia,197.0,23619.0,2021-04-30,2021-05-01,1.0,24.0,4.0,2021.0,17,Fri,Yes
111,Eada Viccary,Female,52,72 George CourtApt. 482,1091,North Edwardshire,Northern Territory,Australia,482.0,59910.0,2021-08-03,2021-08-09,6.0,144.00000000000003,8.0,2021.0,31,Tue,Yes
112,Hadlee Douthwaite,Female,42,19 Lola View RdApt. 937,9698,West Hamish,South Australia,Australia,291.0,50830.0,2021-01-12,2021-02-05,24.0,576.0000000000001,1.0,2021.0,2,Tue,Yes
113,Hew Cardinal,Agender,57,29 David JunctionApt. 733,3303,North Ruby,South Australia,Australia,166.0,11914.0,2021-07-11,2021-07-14,3.0,72.00000000000001,7.0,2021.0,27,Sun,Yes
114,Cecile Jayume,Bigender,30,14 James ParkwayApt. 286,9798,Williamsville,South Australia,Australia,,,,,,,,,,,No
115,Adair Ruddoch,Genderfluid,28,629 Stephanie JunctionApt. 475,5137,East Savannah,Northern Territory,Australia,,,,,,,,,,,No
116,Erik Osgar,Genderfluid,35,6022 Jonathan TrackSuite 607,8590,Zacharyborough,Northern Territory,Australia,986.0,13431.0,2021-08-02,2021-08-15,13.0,312.0,8.0,2021.0,31,Mon,Yes
117,Alexei Hurburt,Female,75,0544 Zoe CourtSuite 153,2398,New Ellieland,Tasmania,Australia,972.0,10698.0,2021-07-22,2021-08-08,17.0,408.0,7.0,2021.0,29,Thu,Yes
118,Meghan Simic,Male,57,164 Fisher RidgeSuite 516,9963,South Cameron,Australian Capital Territory,Australia,821.0,27802.0,2021-01-03,2021-01-10,7.0,168.0,1.0,2021.0,0,Sun,Yes
119,Margeaux Getley,Polygender,65,6711 Jasper View RdApt. 199,8401,Eviemouth,Western Australia,Australia,,,,,,,,,,,No
120,Didi Garton,Polygender,60,13 Ivy BoulevardSuite 234,3554,Carterbury,Queensland,Australia,12.0,55507.0,2021-06-30,2021-07-11,11.0,264.00000000000006,6.0,2021.0,26,Wed,Yes
121,Nollie Yorath,Non-binary,26,1823 Hannah BoulevardSuite 778,9311,Violetport,Queensland,Australia,,,,,,,,,,,No
122,Katey Dubbin,Non-binary,71,1443 Doherty View RdSuite 697,935,South Caleb,South Australia,Australia,,,,,,,,,,,No
123,Yardley Dreamer,Female,22,8083 Paterson RoadApt. 211,1149,Jordanborough,Tasmania,Australia,452.0,50557.0,2021-10-09,2021-10-22,13.0,312.0,10.0,2021.0,40,Sat,Yes
124,Pate De Ambrosis,Non-binary,54,65 Eli AvenueApt. 473,4983,Donnellyfort,New South Wales,Australia,21.0,11261.0,2021-04-04,2021-04-17,13.0,312.0,4.0,2021.0,13,Sun,Yes
125,Lesli Pitfield,Bigender,77,617 Scarlett BoulevardApt. 858,8870,Angelinaville,Tasmania,Australia,510.0,47242.0,2021-09-29,2021-10-01,2.0,48.0,9.0,2021.0,39,Wed,Yes
126,Hashim Banes,Genderfluid,48,07 Johnson MallSuite 458,9110,West Jaydenfort,Tasmania,Australia,,,,,,,,,,,No
127,Merl Gayforth,Genderfluid,30,769 Gibson TrailApt. 359,3708,South Adam,Western Australia,Australia,107.0,58760.0,2021-01-11,2021-02-03,23.0,552.0000000000001,1.0,2021.0,2,Mon,Yes
128,Daisy Camillo,Male,48,5310 Lewis TrailApt. 715,2240,Jacobsland,Northern Territory,Australia,938.0,41631.0,2021-06-12,2021-06-28,16.0,384.0,6.0,2021.0,23,Sat,Yes
129,Beatrisa Winterscale,Non-binary,68,74 Ryan CircleSuite 426,1790,Port Harrychester,Western Australia,Australia,202.0,49559.0,2021-04-15,2021-04-22,7.0,168.0,4.0,2021.0,15,Thu,Yes
130,Jeniece Dumbare,Non-binary,71,7602 Weber CourtSuite 409,6215,New Leahside,South Australia,Australia,,,,,,,,,,,No
131,Stephanus Torbett,Female,33,74 Shields Estate DrSuite 112,3891,Port Annaborough,South Australia,Australia,,,,,,,,,,,No
132,Christian Simko,Male,26,782 King Station StApt. 193,4352,Huelmouth,New South Wales,Australia,,,,,,,,,,,No
133,Bette-ann Harteley,Bigender,49,051 O'conner Station StSuite 626,6661,Shieldsside,Tasmania,Australia,234.0,26314.0,2021-09-18,2021-10-10,22.0,528.0000000000001,9.0,2021.0,37,Sat,Yes
134,Raul Pockey,Male,64,178 Smitham GroveSuite 638,6036,South Hannah,Victoria,Australia,710.0,27729.0,2021-02-07,2021-02-08,1.0,24.0,2.0,2021.0,5,Sun,Yes
135,Mycah Rodie,Genderfluid,25,3087 Victoria DriveApt. 454,3184,Port Abigail,Western Australia,Australia,548.0,19053.0,2021-07-17,2021-07-26,9.0,216.0,7.0,2021.0,28,Sat,Yes
136,Camala Bradbeer,Non-binary,38,7895 Ava HillApt. 172,1028,Sofiashire,Western Australia,Australia,,,,,,,,,,,No
137,Fin Betjes,Non-binary,29,5267 Oscar WayApt. 415,5184,North Zaraview,Western Australia,Australia,,,,,,,,,,,No
138,Lorna Srawley,Non-binary,62,961 Evie ParadeApt. 534,2238,Audreyberg,Australian Capital Territory,Australia,,,,,,,,,,,No
139,Vida Matchitt,Male,73,69 Aiden ParkwaySuite 721,8569,Hudsonberg,Australian Capital Territory,Australia,834.0,27691.0,2021-02-23,2021-03-08,13.0,312.0,2.0,2021.0,8,Tue,Yes
140,Frankie Wewell,Genderfluid,43,092 Jayden JunctionSuite 148,1058,Lukemouth,New South Wales,Australia,,,,,,,,,,,No
141,Jewelle Gatiss,Non-binary,25,578 Connor GroveApt. 944,457,Lake Aidenhaven,Victoria,Australia,,,,,,,,,,,No
142,Valerie D'Errico,Bigender,75,607 Parisian AvenueSuite 494,6043,Chelseaview,South Australia,Australia,584.0,37030.0,2021-06-29,2021-07-01,2.0,48.0,6.0,2021.0,26,Tue,Yes
143,Hewitt Hanscome,Non-binary,80,87 Hahn Station StSuite 943,8254,New Ella,Victoria,Australia,,,,,,,,,,,No
144,Elaina Agate,Male,60,596 Martin BoulevardApt. 367,5393,Richardshaven,South Australia,Australia,738.0,57487.0,2021-07-16,2021-08-09,24.0,576.0000000000001,7.0,2021.0,28,Fri,Yes
145,Mirabelle Bampkin,Genderqueer,43,2044 Johns DriveApt. 201,8332,Lake Madeline,Australian Capital Territory,Australia,,,,,,,,,,,No
146,Lawry Mannooch,Agender,50,348 Johnston RoadSuite 155,6824,North Kayla,Western Australia,Australia,385.0,43155.0,2021-08-08,2021-08-24,16.0,384.0,8.0,2021.0,31,Sun,Yes
147,Mahmud Pumfrett,Male,42,307 Declan Estate DrSuite 265,9361,Walkerhaven,Western Australia,Australia,,,,,,,,,,,No
148,Ikey Spohr,Polygender,53,338 Mckenzie PlaceSuite 622,6527,North Scarlettborough,Northern Territory,Australia,936.0,47197.0,2021-07-16,2021-08-01,16.0,384.0,7.0,2021.0,28,Fri,Yes
149,Marven Argontt,Non-binary,25,5831 Lilly AvenueSuite 322,4101,Port Christopherland,New South Wales,Australia,,,,,,,,,,,No
150,Biddy Devanney,Male,26,42 Michael RoadApt. 405,3137,Harryburgh,Tasmania,Australia,930.0,17581.0,2021-06-22,2021-06-30,8.0,192.0,6.0,2021.0,25,Tue,Yes
151,Lucie Lyenyng,Non-binary,25,5737 Kulas TrailApt. 133,8763,New Sebastianfurt,Western Australia,Australia,,,,,,,,,,,No
152,Panchito Wybern,Female,79,03 Glover TrackApt. 881,7845,Christianport,Australian Capital Territory,Australia,,,,,,,,,,,No
153,Jeramey Kopacek,Agender,73,4874 Corkery PlazaApt. 487,8473,Jadestad,Northern Territory,Australia,,,,,,,,,,,No
154,Ricky Fraser,Agender,68,872 Mitchell SquareSuite 216,3751,East Angelinashire,Victoria,Australia,,,,,,,,,,,No
